"","type","is_practice","click_values","payoff_matrix","cost_matrix","weights","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","experiment_type","trial_nudge","nudge_index","chose_nudge","og_baskets","shown_baskets","num_features","cost","reaction_time","naive","trial_type","trial_index","time_elapsed","nudge_type","participant_id"
"31","mouselab","True","[1, 2, 0, 6, 3, 9, 4, 10, 8, 7]","[[6, 5, 4, 7, 7], [4, 2, 6, 2, 3]]","[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]","[23, 7]",16,1,4,0.061,0.0576666666666667,0.00333333333333333,"[]","supersize","control",-1,"False",5,5,2,2,12829,"True","implicit-mouselab",4,162967,"supersize",3
"32","mouselab","True","[]","[[5, 5, 6, 2, 6], [3, 8, 4, 5, 1], [7, 5, 6, 6, 8], [5, 5, 5, 7, 2], [6, 9, 8, 1, 4]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[10, 3, 5, 5, 7]",10,2,4,0.047,0.047,0,"[]","supersize","control",-1,"False",5,5,5,2,1929,"True","implicit-mouselab",5,167229,"supersize",3
"33","mouselab","False","[]","[[6, 8, 6, 5, 8, 5], [5, 1, 6, 5, 7, 5], [3, 3, 4, 5, 4, 4], [7, 5, 6, 6, 3, 2], [8, 5, 9, 6, 4, 3]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2]]","[4, 17, 2, 2, 5]",22,3,4,0.062,0.062,0,"[]","supersize","pre-supersize",4,"True",5,6,5,2,1840,"True","implicit-mouselab",7,173823,"supersize",3
"34","mouselab","False","[]","[[6, 8, 6, 3, 5, 3], [4, 7, 5, 5, 4, 3], [6, 2, 5, 5, 6, 6], [6, 6, 5, 4, 7, 6], [7, 4, 1, 6, 5, 9]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2]]","[25, 2, 1, 1, 1]",38,4,5,0.034,0.034,0,"[]","supersize","post-supersize",5,"True",5,6,5,2,3189,"True","implicit-mouselab",8,178406,"supersize",3
"35","mouselab","False","[]","[[6, 1, 7, 6, 2], [3, 4, 3, 5, 6]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[29, 1]",28,5,4,0.021,0.021,0,"[]","supersize","control",-1,"False",5,5,2,2,1387,"True","implicit-mouselab",9,182877,"supersize",3
"36","mouselab","False","[]","[[5, 4, 8, 4, 3, 5], [4, 5, 5, 7, 7, 5]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2]]","[1, 29]",28,6,5,0.05,0.05,0,"[]","supersize","post-supersize",5,"True",5,6,2,2,3052,"True","implicit-mouselab",10,190037,"supersize",3
"37","mouselab","False","[]","[[7, 7, 5, 7, 4], [9, 7, 6, 7, 4]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[15, 15]",0,7,0,0.08,0.08,0,"[]","supersize","control",-1,"False",5,5,2,2,1308,"True","implicit-mouselab",11,194149,"supersize",3
"38","mouselab","False","[]","[[6, 2, 5, 6, 5], [3, 3, 7, 4, 4], [7, 4, 3, 4, 6], [5, 5, 3, 7, 4], [1, 5, 6, 3, 6]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[19, 2, 2, 4, 3]",26,8,1,0.029,0.029,0,"[]","supersize","control",-1,"False",5,5,5,2,1115,"True","implicit-mouselab",12,197477,"supersize",3
"39","mouselab","False","[]","[[4, 6, 5, 6, 8], [3, 3, 3, 5, 6], [5, 9, 6, 3, 6], [5, 5, 7, 7, 4], [5, 5, 7, 5, 8]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[7, 9, 3, 8, 3]",12,9,2,0.052,0.052,0,"[]","supersize","control",-1,"False",5,5,5,2,1660,"True","implicit-mouselab",13,201597,"supersize",3
"40","mouselab","False","[]","[[2, 6, 3, 7, 4, 3], [7, 6, 3, 6, 2, 6]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2]]","[23, 7]",16,10,4,0.035,0.035,0,"[]","supersize","pre-supersize",3,"False",5,6,2,2,1331,"True","implicit-mouselab",14,205873,"supersize",3
"41","mouselab","True","[7, 7, 21, 21, 18, 18, 0, 0, 3, 3, 26, 26, 28, 28, 10, 10, 19, 19, 8, 8, 2, 2, 27, 27, 4, 4, 12, 12, 25, 25, 1, 1, 13, 13, 6, 6, 24, 24, 14, 14, 20, 20, 9, 9, 15, 15, 16, 16, 16, 22, 22]","[[5, 5, 8, 6, 6], [6, 5, 8, 5, 5], [4, 4, 6, 5, 6], [3, 5, 3, 6, 8], [2, 10, 3, 4, 5]]","[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]","[4, 7, 2, 1, 16]",22,1,0,0.035,0.0183333333333333,0.0166666666666667,"[7, 21, 18, 0, 3, 26, 28, 10, 19, 8, 2, 27, 4, 12, 25, 1, 13, 6, 24, 14, 20, 9, 15, 16, 22]","supersize","control",-1,"False",5,5,5,2,48267,"False","implicit-mouselab",4,213977,"supersize",4
"42","mouselab","True","[8, 8, 0, 0, 2, 2, 4, 4, 9, 9, 1, 1]","[[9, 4, 8, 5, 6], [5, 3, 3, 6, 6]]","[[0, 0, 0, 2, 0], [2, 2, 0, 0, 2]]","[27, 3]",24,2,0,0.086,0.082,0.004,"[8, 0, 2, 4, 9, 1]","supersize","control",-1,"False",5,5,2,2,7012,"False","implicit-mouselab",5,228891,"supersize",4
