type,is_practice,original_item_cost,highlight_cost,click_values,payoff_matrix,original_cost_matrix,final_cost_matrix,weights,highlight_weight,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,is_control,highlight_index,selected_option_highlight_value,trial_type,trial_index,time_elapsed,internal_node_id,prolific_pid,study_id,session_id,nudge_highlighted_values_are_even,highlight_value,maximized_highlighted_option,highlight_num_clicks,highlight_weight_check,highlight_num_reveals,participant_id,weights_sum
traffic-light-mouselab,True,3,1,"[2, 0, 4]","[[5, 4, 4, 7, 6], [4, 4, 9, 5, 3], [5, 3, 5, 4, 4]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 1, 0, 1, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[10, 15, 5]",10,10,1,2,0.067,0.066,0.001,"[2, 0, 4]",3,5,3,36254,3,200,197,False,0,4,traffic-light-mouselab,4,266110,0.0-3.0-1.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,4,0,3,10,3,0,30
traffic-light-mouselab,True,3,1,"[0, 0]","[[4, 6, 4, 5, 3], [3, 6, 5, 1, 2], [3, 5, 6, 3, 8]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[1, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[1, 3, 26]",26,32,2,0,0.03,0.029333333333333333,0.0006666666666666666,[],0,5,3,15321,2,91,89,True,2,3,traffic-light-mouselab,5,287074,0.0-3.0-2.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,3,0,0,26,0,0,30
traffic-light-mouselab,False,3,1,"[2, 0, 4]","[[3, 5, 2, 0, 10], [7, 3, 7, 9, 6], [4, 7, 9, 4, 3]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 1, 0, 1, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[22, 2, 6]",22,24,3,4,0.083,0.082,0.001,"[2, 0, 4]",3,5,3,24858,3,250,247,False,0,10,traffic-light-mouselab,7,321769,0.0-3.0-4.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,10,1,3,22,3,0,30
traffic-light-mouselab,False,3,1,[10],"[[2, 5, 5, 5, 4], [3, 6, 6, 10, 6], [5, 3, 3, 6, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 1, 1, 1, 1]]","[23, 1, 6]",6,26,4,0,0.026,0.025666666666666664,0.0003333333333333333,[10],1,5,3,15806,1,79,78,False,2,5,traffic-light-mouselab,8,340278,0.0-3.0-5.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,5,0,1,6,1,0,30
traffic-light-mouselab,False,3,1,"[6, 1, 11]","[[6, 5, 5, 5, 6], [2, 6, 4, 5, 6], [4, 4, 3, 7, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 2, 3, 3, 3], [3, 2, 3, 3, 3], [3, 2, 3, 3, 3]]","[1, 25, 4]",1,30,5,1,0.057,0.056,0.001,[],0,5,3,18898,3,171,168,True,0,5,traffic-light-mouselab,9,365271,0.0-3.0-6.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,5,0,1,1,0,0,30
traffic-light-mouselab,False,3,1,"[5, 8, 6]","[[6, 7, 4, 7, 4], [5, 9, 5, 3, 3], [8, 2, 6, 4, 6]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 0, 1, 0, 1], [3, 3, 3, 3, 3]]","[12, 16, 2]",16,16,6,1,0.077,0.076,0.001,"[5, 8, 6]",3,5,3,12667,3,232,229,False,1,9,traffic-light-mouselab,10,380945,0.0-3.0-7.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,9,1,3,16,3,0,30
traffic-light-mouselab,False,3,1,"[9, 6]","[[4, 5, 8, 6, 5], [4, 6, 6, 6, 3], [5, 6, 3, 0, 8]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 2, 3, 3, 2], [3, 3, 3, 3, 3]]","[5, 15, 10]",5,10,7,2,0.053,0.05233333333333333,0.0006666666666666666,[],0,5,3,6208,2,160,158,True,0,8,traffic-light-mouselab,11,389500,0.0-3.0-8.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,8,1,0,5,0,0,30
traffic-light-mouselab,False,3,1,"[0, 3, 2, 4]","[[4, 7, 4, 5, 7], [1, 3, 4, 2, 6], [4, 4, 5, 2, 6]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 1, 0, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[20, 2, 8]",20,20,8,4,0.067,0.06566666666666666,0.0013333333333333333,"[0, 3, 2, 4]",4,5,3,9320,4,200,196,False,0,7,traffic-light-mouselab,12,401489,0.0-3.0-9.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,7,1,4,20,4,0,30
traffic-light-mouselab,False,3,1,"[5, 7]","[[5, 6, 6, 5, 5], [7, 10, 5, 3, 4], [5, 4, 4, 1, 6]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 1, 0, 1, 1], [3, 3, 3, 3, 3]]","[11, 14, 5]",14,10,9,0,0.059,0.05833333333333333,0.0006666666666666666,"[5, 7]",2,5,3,10003,2,178,176,False,1,7,traffic-light-mouselab,13,413528,0.0-3.0-10.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,7,0,2,14,2,0,30
traffic-light-mouselab,False,3,1,"[10, 10, 10]","[[3, 4, 5, 5, 6], [8, 6, 6, 6, 6], [1, 5, 6, 7, 7]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 3, 3, 3, 3]]","[3, 13, 14]",13,14,10,2,0.059,0.057999999999999996,0.001,[10],1,5,3,12262,3,177,174,True,1,6,traffic-light-mouselab,14,427684,0.0-3.0-11.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,6,0,0,13,0,0,30
traffic-light-mouselab,False,3,1,"[0, 0, 0]","[[5, 4, 8, 2, 5], [5, 4, 3, 4, 6], [3, 5, 7, 3, 6]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[0, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[15, 2, 13]",2,16,11,0,0.041,0.04,0.001,[0],1,5,3,8716,3,124,121,False,1,5,traffic-light-mouselab,15,439204,0.0-3.0-12.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,5,0,0,2,0,0,30
traffic-light-mouselab,False,3,1,"[8, 6]","[[5, 7, 6, 7, 4], [5, 3, 4, 5, 1], [5, 4, 4, 4, 3]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [1, 0, 1, 0, 1], [3, 3, 3, 3, 3]]","[20, 8, 2]",8,20,12,3,0.063,0.06233333333333333,0.0006666666666666666,"[8, 6]",2,5,3,9140,2,188,186,False,1,5,traffic-light-mouselab,16,450697,0.0-3.0-13.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,5,1,2,8,2,0,30
traffic-light-mouselab,False,3,1,"[5, 5, 5]","[[5, 2, 5, 6, 3], [8, 6, 4, 3, 6], [3, 5, 9, 7, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 3, 3, 3, 3], [0, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[5, 17, 8]",17,14,13,0,0.062,0.061,0.001,[5],1,5,3,8184,3,185,182,True,1,8,traffic-light-mouselab,17,460585,0.0-3.0-14.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,8,1,3,17,1,0,30
traffic-light-mouselab,False,3,1,"[0, 2, 4]","[[6, 6, 7, 7, 9], [5, 7, 7, 3, 3], [4, 6, 7, 3, 4]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[0, 1, 0, 1, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[24, 2, 4]",24,28,14,4,0.079,0.078,0.001,"[0, 2, 4]",3,5,3,4784,3,238,235,False,0,9,traffic-light-mouselab,18,467978,0.0-3.0-15.0,5e791a6bee5fd74c820ae96e,60ca52d74ed66c9bb11e25ac,60e5f6c14c6a4a7a34393e93,True,9,1,3,24,3,0,30
