"","type","is_practice","click_values","payoff_matrix","cost_matrix","weights","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","num_values_revealed","nudge_type","num_baskets","num_features","reaction_time","points_click_cost","points_action_utility","points_metalevel_reward","problem_id","trial_type","trial_index","time_elapsed","participant_id"
"1","mouselab","True","[8]","[[4, 7, 4, 5, 7], [7, 3, 6, 7, 8], [7, 5, 6, 8, 4], [4, 7, 6, 6, 4], [3, 6, 6, 7, 5]]","[[1, 3, 3, 3, 3], [3, 1, 3, 3, 3], [1, 1, 3, 3, 3], [3, 3, 3, 3, 3], [3, 1, 1, 3, 3]]","[2, 17, 4, 3, 4]",22,1,3,0.069,0.0686666666666667,0.000333333333333333,"[]",0,"random",5,5,7766,1,207,206,585486770995025408,"attentional-mouselab",4,132450,0
"2","mouselab","True","[]","[[4, 6, 5, 2, 5], [6, 1, 4, 4, 7], [2, 4, 2, 3, 5], [5, 6, 6, 8, 5], [6, 4, 5, 2, 5]]","[[3, 3, 3, 1, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 1, 3, 1, 1], [3, 1, 3, 3, 1]]","[1, 7, 9, 5, 8]",12,2,3,0.038,0.038,0,"[]",0,"random",5,5,2702,0,113,113,7940710075208626176,"attentional-mouselab",5,137898,0
"3","mouselab","False","[]","[[5, 7, 3, 6, 4], [4, 3, 3, 7, 5], [5, 8, 7, 6, 7], [9, 7, 6, 5, 6], [6, 5, 5, 10, 2]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 1, 3, 1, 3], [3, 1, 1, 1, 1]]","[1, 6, 9, 12, 2]",18,3,2,0.055,0.055,0,"[]",0,"random",5,5,2238,0,166,166,13492386580757700608,"attentional-mouselab",7,143706,0
"4","mouselab","False","[]","[[6, 6, 5, 6, 5], [1, 4, 5, 5, 6], [4, 3, 2, 6, 5], [2, 6, 7, 5, 6], [7, 5, 2, 5, 4]]","[[3, 3, 3, 1, 3], [1, 1, 3, 3, 1], [3, 3, 3, 1, 3], [1, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[7, 6, 3, 7, 7]",6,4,4,0.052,0.052,0,"[]",0,"greedy",5,5,3039,0,156,156,16319366751650621440,"attentional-mouselab",8,148658,0
"5","mouselab","False","[]","[[7, 4, 7, 5, 5], [6, 8, 5, 6, 5], [9, 7, 4, 5, 6], [3, 3, 5, 7, 4], [5, 4, 4, 4, 7]]","[[1, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 3, 3, 3, 1], [1, 3, 1, 1, 3], [3, 3, 3, 3, 3]]","[1, 2, 9, 14, 4]",22,5,2,0.046,0.046,0,"[]",0,"greedy",5,5,2623,0,139,139,7716857061610744832,"attentional-mouselab",9,152522,0
"6","mouselab","False","[]","[[6, 6, 4, 5, 6], [7, 4, 8, 5, 7], [5, 2, 5, 5, 7], [4, 6, 4, 4, 6], [4, 3, 6, 3, 5]]","[[3, 3, 3, 3, 1], [3, 3, 3, 3, 1], [1, 3, 3, 3, 1], [1, 3, 3, 3, 3], [3, 1, 3, 3, 3]]","[15, 1, 3, 4, 7]",20,6,0,0.052,0.052,0,"[]",0,"greedy",5,5,831,0,156,156,17419400685189769216,"attentional-mouselab",10,154545,0
"7","mouselab","False","[]","[[7, 5, 4, 7, 6], [3, 6, 5, 5, 5], [8, 1, 5, 5, 7], [3, 5, 2, 5, 6], [4, 6, 3, 7, 5]]","[[3, 3, 3, 3, 3], [3, 1, 3, 1, 3], [3, 3, 3, 3, 3], [3, 3, 1, 3, 1], [1, 3, 3, 3, 1]]","[9, 2, 7, 2, 10]",16,7,3,0.063,0.063,0,"[]",0,"random",5,5,759,0,188,188,1135590645018953344,"attentional-mouselab",11,156298,0
"8","mouselab","False","[]","[[4, 6, 7, 7, 7], [4, 7, 7, 3, 4], [4, 7, 2, 6, 7], [9, 4, 7, 5, 3], [9, 6, 5, 5, 5]]","[[3, 1, 3, 1, 1], [1, 3, 3, 3, 3], [1, 3, 3, 3, 3], [1, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[1, 12, 5, 6, 6]",12,8,2,0.058,0.058,0,"[]",0,"random",5,5,710,0,173,173,14122248548037801984,"attentional-mouselab",12,158194,0
"9","mouselab","False","[]","[[6, 6, 5, 6, 2], [7, 2, 5, 7, 5], [6, 7, 3, 5, 5], [5, 5, 2, 7, 5], [4, 7, 5, 6, 5]]","[[3, 3, 3, 3, 1], [3, 1, 1, 1, 3], [3, 3, 3, 3, 3], [3, 3, 1, 3, 1], [3, 3, 3, 3, 3]]","[2, 17, 2, 7, 2]",24,9,1,0.036,0.036,0,"[]",0,"extreme",5,5,1198,0,109,109,2712173566615869440,"attentional-mouselab",13,160594,0
"10","mouselab","False","[]","[[7, 3, 5, 5, 8], [6, 1, 4, 8, 9], [2, 5, 6, 3, 6], [3, 3, 4, 6, 5], [3, 6, 7, 5, 5]]","[[3, 1, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 1, 3, 3], [1, 1, 3, 3, 3], [1, 3, 1, 3, 3]]","[4, 3, 14, 6, 3]",16,10,4,0.063,0.063,0,"[]",0,"random",5,5,1023,0,188,188,12343390575741921280,"attentional-mouselab",14,164066,0
